"","x"
"698",3.0159
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",0
"741",0
"742",0
"743",0
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",0
"760",0
"761",0
"762",3.1591
"763",9.7403
"764",19.595
"765",36.6003
"766",55.5594
"767",66.3722
"768",98.4286
"769",114.9864
"770",153.4643
"771",181.2494
"772",208.8251
"773",236.5632
"774",265.7198
"775",294.6912
"776",322.7402
"777",350.1212
"778",379.2
"779",408.6317
"780",436.157
"781",464.2693
"782",490.3045
"783",514.6708
"784",540.5435
"785",565.3191
"786",588.0176
"787",611.626
"788",635.6898
"789",656.2223
"790",670.9706
"791",692.7779
"792",705.4564
"793",724.0376
"794",737.5357
"795",742.084
"796",752.1651
"797",760.4441
"798",765.5771
"799",765.7675
"800",767.0583
"801",771.4403
"802",774.2157
"803",774.2652
"804",773.576
"805",772.6919
"806",765.8199
"807",760.5894
"808",754.7193
"809",743.5244
"810",733.8034
"811",718.3595
"812",702.2587
"813",684.1617
"814",663.5752
"815",651.8714
"816",632.9933
"817",606.6971
"818",578.6733
"819",554.3903
"820",534.4455
"821",510.6937
"822",488.1928
"823",463.6043
"824",432.7207
"825",407.0251
"826",372.9104
"827",338.4011
"828",220.5648
"829",71.0725
"830",93.552
"831",227.7427
"832",197.5757
"833",178.5063
"834",162.7144
"835",133.4437
"836",104.8326
"837",79.8913
"838",53.2719
"839",30.2874
"840",12.2287
"841",3.6629
"842",0
"843",0
"844",0
"845",0
"846",0
"847",0
"848",0
"849",0
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0
"860",0
"861",0
"862",0
"863",0
"864",0
"865",0
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0.0737
"872",0.98
"873",0.958
"874",0.0343
"875",0
"876",0
"877",0
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",0
"885",0
"886",0
"887",0
"888",0
"889",0
"890",0
"891",0
"892",0
"893",0
"894",0
"895",0
"896",0
"897",0
"898",0
"899",0
"900",0
"901",0
"902",0
"903",0
"904",0
"905",0
"906",1.7256
"907",8.3916
"908",21.717
"909",33.3287
"910",44.1848
"911",85.8192
"912",116.5232
"913",99.6809
"914",110.178
"915",154.8349
"916",129.8637
"917",152.4786
"918",189.5455
"919",146.8086
"920",212.3595
"921",369.1904
"922",327.366
"923",212.9223
"924",267.6165
"925",218.6692
"926",154.5666
"927",229.5694
"928",347.6924
"929",346.5377
"930",315.3883
"931",379.4605
"932",426.0343
"933",483.6264
"934",403.1193
"935",620.8781
"936",785.8834
"937",753.5808
"938",721.6327
"939",704.3791
"940",644.6685
"941",697.3554
"942",805.4214
"943",785.1422
"944",495.6524
"945",274.946
"946",455.6203
"947",355.5625
"948",402.5802
"949",469.6138
"950",494.4426
"951",577.4773
"952",292.5655
"953",202.608
"954",119.1434
"955",78.6815
"956",35.8881
"957",51.1092
"958",78.8387
"959",175.9478
"960",145.3181
"961",184.4519
"962",243.007
"963",143.6989
"964",156.1492
"965",142.8925
"966",153.8581
"967",198.0213
"968",229.6725
"969",208.2894
"970",164.6201
"971",140.8485
"972",125.7897
"973",59.8651
"974",49.1355
"975",32.2336
"976",30.5017
"977",62.9265
"978",55.099
"979",40.693
"980",46.4338
"981",38.9745
"982",21.9325
"983",16.0688
"984",11.9687
"985",6.5161
"986",0.3398
"987",0
"988",0
"989",0
"990",0
"991",0
"992",0
"993",0
"994",0
"995",0
"996",0
"997",0
"998",0
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",0
"1008",0
"1009",0
"1010",0
"1011",0
"1012",0
"1013",0
"1014",0
"1015",0
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0
"1028",0
"1029",0
"1030",0
"1031",0
"1032",0
"1033",0
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",0
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0.2237
"1051",2.6612
"1052",8.1169
"1053",21.8136
"1054",38.9936
"1055",46.3022
"1056",59.4267
"1057",88.0219
"1058",60.5632
"1059",69.6577
"1060",92.2465
"1061",95.3502
"1062",79.2504
"1063",87.769
"1064",145.4105
"1065",183.2566
"1066",354.4818
"1067",300.3795
"1068",208.5005
"1069",231.0964
"1070",272.1753
"1071",349.4671
"1072",383.6416
"1073",452.5318
"1074",466.5691
"1075",460.7035
"1076",644.4607
"1077",658.0707
"1078",488.0272
"1079",657.1734
"1080",337.1915
"1081",315.0318
"1082",288.7551
"1083",232.1877
"1084",242.7692
"1085",239.9347
"1086",263.7353
"1087",293.4586
"1088",273.109
"1089",238.414
"1090",164.999
"1091",118.1746
"1092",106.5226
"1093",106.0446
"1094",127.6517
"1095",196.7667
"1096",388.22
"1097",468.732
"1098",395.3645
"1099",395.0167
"1100",363.5616
"1101",426.9863
"1102",469.8411
"1103",516.175
"1104",312.7735
"1105",232.2309
"1106",194.6157
"1107",153.12
"1108",151.4909
"1109",148.2872
"1110",121.7785
"1111",92.0319
"1112",83.4025
"1113",83.3879
"1114",67.4601
"1115",44.4492
"1116",36.5091
"1117",48.6377
"1118",75.7502
"1119",69.4201
"1120",67.663
"1121",54.2803
"1122",34.1761
"1123",25.7959
"1124",21.1692
"1125",21.9715
"1126",16.0146
"1127",12.0147
"1128",7.2426
"1129",2.3686
"1130",0
"1131",0
"1132",0
"1133",0
"1134",0
"1135",0
"1136",0
"1137",0
"1138",0
"1139",0
"1140",0
"1141",0
"1142",0
"1143",0
"1144",0
"1145",0
"1146",0
"1147",0
"1148",0
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",0
"1155",0
"1156",0
"1157",0
"1158",0
"1159",0
"1160",0
"1161",0
"1162",0
"1163",0
"1164",0
"1165",0
"1166",0
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",0
"1174",0
"1175",0
"1176",0
"1177",0
"1178",0
"1179",0
"1180",0
"1181",0
"1182",0
"1183",0
"1184",0
"1185",0
"1186",0
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",1.3978
"1195",6.5675
"1196",13.664
"1197",30.1942
"1198",50.4705
"1199",74.1713
"1200",101.4101
"1201",130.1528
"1202",158.8647
"1203",191.4485
"1204",220.928
"1205",249.972
"1206",280.0823
"1207",312.2427
"1208",344.4168
"1209",376.4416
"1210",404.8621
"1211",431.9903
"1212",459.7986
"1213",490.2537
"1214",516.235
"1215",541.6138
"1216",566.7872
"1217",592.8338
"1218",616.806
"1219",637.8454
"1220",659.3728
"1221",676.5656
"1222",693.3428
"1223",711.8181
"1224",728.5547
"1225",741.6651
"1226",753.2723
"1227",765.1138
"1228",776.0576
"1229",784.3964
"1230",792.9733
"1231",798.6151
"1232",804.4748
"1233",807.1672
"1234",806.8455
"1235",803.2876
"1236",799.3592
"1237",793.4805
"1238",785.649
"1239",776.101
"1240",768.906
"1241",759.9232
"1242",748.0369
"1243",734.6394
"1244",718.0642
"1245",701.5254
"1246",680.4881
"1247",659.1177
"1248",638.2024
"1249",617.8609
"1250",596.9835
"1251",573.8195
"1252",550.0917
"1253",524.4646
"1254",498.9363
"1255",471.9862
"1256",444.9694
"1257",416.5878
"1258",388.5317
"1259",358.7765
"1260",329.1476
"1261",299.8165
"1262",269.0088
"1263",239.1234
"1264",208.7298
"1265",179.4914
"1266",151.2909
"1267",122.7457
"1268",95.6724
"1269",69.9551
"1270",47.0004
"1271",16.0069
"1272",7.3358
"1273",2.0082
"1274",0
"1275",0
"1276",0
"1277",0
"1278",0
"1279",0
"1280",0
"1281",0
"1282",0
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",0
"1290",0
"1291",0
"1292",0
"1293",0
"1294",0
"1295",0
"1296",0
"1297",0
"1298",0
"1299",0
"1300",0
"1301",0
"1302",0
"1303",0
"1304",0
"1305",0
"1306",0
"1307",0
"1308",0
"1309",0
"1310",0
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",0
"1317",0
"1318",0
"1319",0
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",0
"1327",0
"1328",0
"1329",0
"1330",0
"1331",0
"1332",0
"1333",0
"1334",0
"1335",0
"1336",0
"1337",0
"1338",1.0041
"1339",5.9112
"1340",12.4389
"1341",28.6445
"1342",53.5395
"1343",76.887
"1344",101.9505
"1345",128.5848
"1346",157.675
"1347",186.4882
"1348",214.7992
"1349",243.6518
"1350",274.3509
"1351",304.9085
"1352",334.5532
"1353",365.0363
"1354",393.7112
"1355",423.0329
"1356",451.5025
"1357",478.8317
"1358",504.8395
"1359",530.6285
"1360",557.6957
"1361",580.411
"1362",600.3002
"1363",624.0914
"1364",643.9548
"1365",664.1579
"1366",683.8163
"1367",703.0221
"1368",717.3031
"1369",731.8919
"1370",745.6906
"1371",758.785
"1372",766.7984
"1373",774.4667
"1374",780.586
"1375",785.4779
"1376",787.2184
"1377",789.2871
"1378",789.9356
"1379",784.974
"1380",782.4994
"1381",778.3471
"1382",773.9763
"1383",768.5603
