"","x"
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",0
"741",0
"742",0
"743",0
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",0
"760",0
"761",0
"762",268.455
"763",303.714
"764",282.057
"765",331.248
"766",373.299
"767",366.192
"768",353.655
"769",369.714
"770",426.096
"771",461.706
"772",1073.604
"773",1936.293
"774",2170.296
"775",2387.265
"776",2572.419
"777",2758.677
"778",2969.454
"779",3153.123
"780",3322.974
"781",3494.739
"782",3653.928
"783",3791.058
"784",3939.876
"785",4071.003
"786",4188.873
"787",4335.753
"788",4439.784
"789",4530.138
"790",4613.928
"791",4718.772
"792",4777.62
"793",4827.027
"794",4858.35
"795",4862.022
"796",4923.174
"797",4915.146
"798",4924.185
"799",4897.107
"800",4866.885
"801",4906.092
"802",4929.735
"803",4893.144
"804",4846.203
"805",4795.188
"806",4746.984
"807",4674.36
"808",4618.47
"809",4548.477
"810",4454.97
"811",4338.732
"812",4220.439
"813",4051.416
"814",3935.268
"815",3821.619
"816",3664.656
"817",3485.607
"818",3304.605
"819",3126.828
"820",2999.259
"821",2810.355
"822",2639.715
"823",2467.407
"824",2058.405
"825",1318.692
"826",877.692
"827",544.254
"828",430.755
"829",360.114
"830",366.63
"831",422.568
"832",394.422
"833",379.992
"834",351.735
"835",330.516
"836",355.011
"837",340.998
"838",319.866
"839",312.429
"840",267.519
"841",281.496
"842",288.351
"843",267.504
"844",63.81
"845",0
"846",0
"847",0
"848",0
"849",0
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0
"860",0
"861",0
"862",0
"863",0
"864",0
"865",0
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",0
"873",0
"874",0
"875",0
"876",0
"877",0
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",0
"885",0
"886",0
"887",0
"888",0
"889",0
"890",0
"891",0
"892",0
"893",0
"894",0
"895",0
"896",0
"897",0
"898",0
"899",0
"900",0
"901",0
"902",0
"903",0
"904",0
"905",0
"906",185.157
"907",318.483
"908",303.705
"909",345.828
"910",366.906
"911",366.894
"912",366.927
"913",408.819
"914",503.136
"915",690.987
"916",805.173
"917",998.106
"918",1239.972
"919",856.683
"920",1640.553
"921",2796.927
"922",2038.917
"923",1444.512
"924",1798.155
"925",1363.98
"926",939.087
"927",1852.512
"928",2426.4
"929",2093.154
"930",2006.169
"931",2640.492
"932",2768.592
"933",2845.125
"934",2737.257
"935",4420.641
"936",5068.776
"937",4924.341
"938",4295.1
"939",4886.79
"940",4084.374
"941",4713.84
"942",4614.435
"943",4831.818
"944",2359.086
"945",1612.341
"946",2893.908
"947",2154.852
"948",2590.122
"949",3000.963
"950",3051.12
"951",3245.394
"952",1690.8
"953",1061.253
"954",589.785
"955",454.449
"956",347.793
"957",383.631
"958",526.248
"959",952.194
"960",755.931
"961",1139.46
"962",1467.603
"963",771.126
"964",912.894
"965",884.847
"966",899.784
"967",1250.826
"968",1406.055
"969",1176.63
"970",825.216
"971",782.082
"972",690.822
"973",390.444
"974",365.562
"975",316.131
"976",301.725
"977",379.374
"978",355.17
"979",341.058
"980",340.854
"981",340.914
"982",305.184
"983",326.769
"984",319.887
"985",305.046
"986",319.08
"987",297.39
"988",84.969
"989",0
"990",0
"991",0
"992",0
"993",0
"994",0
"995",0
"996",0
"997",0
"998",0
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",0
"1008",0
"1009",0
"1010",0
"1011",0
"1012",0
"1013",0
"1014",0
"1015",0
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0
"1028",0
"1029",0
"1030",0
"1031",0
"1032",0
"1033",0
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",0
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",190.611
"1052",316.659
"1053",301.962
"1054",384.933
"1055",366.15
"1056",400.236
"1057",547.878
"1058",357.249
"1059",433.836
"1060",580.422
"1061",594.126
"1062",447.708
"1063",539.127
"1064",932.085
"1065",1217.805
"1066",2677.284
"1067",1773.723
"1068",1292.202
"1069",1476.417
"1070",1854.744
"1071",2383.533
"1072",2608.836
"1073",3179.349
"1074",3264.771
"1075",2949.666
"1076",4554.66
"1077",4409.808
"1078",3594.498
"1079",4463.94
"1080",2359.959
"1081",2049.675
"1082",1749.063
"1083",1397.028
"1084",1493.436
"1085",1493.925
"1086",1698.84
"1087",1862.268
"1088",1761.573
"1089",1489.653
"1090",985.536
"1091",716.988
"1092",667.602
"1093",680.856
"1094",808.674
"1095",1262.436
"1096",2528.721
"1097",2903.391
"1098",2298.831
"1099",2349.837
"1100",2155.977
"1101",2637.63
"1102",2842.605
"1103",3152.904
"1104",1785.639
"1105",1399.833
"1106",1188.87
"1107",936.414
"1108",922.605
"1109",902.856
"1110",734.415
"1111",523.347
"1112",495.411
"1113",496.002
"1114",382.104
"1115",388.89
"1116",339.702
"1117",353.985
"1118",438.522
"1119",395.535
"1120",396.231
"1121",360.57
"1122",318.348
"1123",339.909
"1124",297.411
"1125",304.857
"1126",297.933
"1127",355.077
"1128",305.826
"1129",268.617
"1130",267.372
"1131",288.312
"1132",77.22
"1133",0
"1134",0
"1135",0
"1136",0
"1137",0
"1138",0
"1139",0
"1140",0
"1141",0
"1142",0
"1143",0
"1144",0
"1145",0
"1146",0
"1147",0
"1148",0
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",0
"1155",0
"1156",0
"1157",0
"1158",0
"1159",0
"1160",0
"1161",0
"1162",0
"1163",0
"1164",0
"1165",0
"1166",0
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",0
"1174",0
"1175",0
"1176",0
"1177",0
"1178",0
"1179",0
"1180",0
"1181",0
"1182",0
"1183",0
"1184",0
"1185",0
"1186",0
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",190.002
"1195",309.303
"1196",324.174
"1197",337.308
"1198",343.863
"1199",330.258
"1200",388.008
"1201",351.015
"1202",357.018
"1203",356.082
"1204",746.928
"1205",2138.334
"1206",2378.019
"1207",2633.205
"1208",2878.59
"1209",3117.813
"1210",3332.763
"1211",3533.739
"1212",3733.974
"1213",3952.908
"1214",4098.375
"1215",4260.984
"1216",4380.825
"1217",4549.968
"1218",4660.521
"1219",4791.105
"1220",4927.968
"1221",5000.727
"1222",5066.421
"1223",5181.3
"1224",5246.235
"1225",5300.442
"1226",5365.596
"1227",5380.875
"1228",5407.542
"1229",5454.672
"1230",5456.604
"1231",5486.043
"1232",5452.677
"1233",5418.708
"1234",5378.121
"1235",5296.191
"1236",5225.157
"1237",5117.19
"1238",5073.873
"1239",5012.91
"1240",4940.031
"1241",4833.135
"1242",4730.016
"1243",4645.752
"1244",4498.08
"1245",4363.389
"1246",4194.495
"1247",4058.184
"1248",3892.854
"1249",3751.521
"1250",3580.674
"1251",3404.31
"1252",3231.969
"1253",3021.843
"1254",2835.759
"1255",2632.359
"1256",2223.156
"1257",1286.85
"1258",834.714
"1259",473.562
"1260",430.719
"1261",607.116
"1262",436.704
"1263",344.652
"1264",358.974
"1265",330.762
"1266",338.01
"1267",324.366
"1268",317.175
"1269",317.295
"1270",332.013
"1271",346.341
"1272",325.503
"1273",339.705
"1274",304.251
"1275",296.931
"1276",113.013
"1277",0
"1278",0
"1279",0
"1280",0
"1281",0
"1282",0
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",0
"1290",0
"1291",0
"1292",0
"1293",0
"1294",0
"1295",0
"1296",0
"1297",0
"1298",0
"1299",0
"1300",0
"1301",0
"1302",0
"1303",0
"1304",0
"1305",0
"1306",0
"1307",0
"1308",0
"1309",0
"1310",0
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",0
"1317",0
"1318",0
"1319",0
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",0
"1327",0
"1328",0
"1329",0
"1330",0
"1331",0
"1332",0
"1333",0
"1334",0
"1335",0
"1336",0
"1337",0
"1338",204.606
"1339",323.124
"1340",315.822
"1341",331.884
"1342",324.198
"1343",387.786
"1344",358.989
"1345",379.611
"1346",351.405
"1347",365.55
"1348",533.976
"1349",2094.687
"1350",2364.507
"1351",2607.573
"1352",2823.978
"1353",3040.908
"1354",3240.507
"1355",3429.903
"1356",3601.443
"1357",3758.175
"1358",3897.777
"1359",4048.944
"1360",4205.916
"1361",4294.29
"1362",4397.763
"1363",4514.283
"1364",4603.86
"1365",4740.855
"1366",4812.252
"1367",4919.613
"1368",4935.321
"1369",4989.816
"1370",5027.445
"1371",5053.101
"1372",5082.396
"1373",5095.593
"1374",5118.933
"1375",5128.044
"1376",5062.959
"1377",5057.55
"1378",5032.503
"1379",5019.021
"1380",4991.439
"1381",4924.539
"1382",4892.592
"1383",4832.268
"1384",4763.907
"1385",4675.02
"1386",4540.02
"1387",4456.221
"1388",4347.765
"1389",2966.424
"1390",4103.139
"1391",3905.343
"1392",3776.487
"1393",3582.546
"1394",3462.273
"1395",3293.199
"1396",3136.554
"1397",2930.463
"1398",2750.967
"1399",2545.206
"1400",2203.251
"1401",1356.771
"1402",896.484
"1403",507.684
"1404",458.235
"1405",592.206
"1406",443.241
"1407",379.689
"1408",351.57
"1409",344.592
"1410",359.109
"1411",380.97
"1412",359.775
"1413",374.412
"1414",332.373
"1415",339.438
"1416",360.795
"1417",353.352
"1418",296.706
"1419",239.814
"1420",0
"1421",0
"1422",0
"1423",0
"1424",0
"1425",0
"1426",0
"1427",0
"1428",0
"1429",0
"1430",0
"1431",0
"1432",0
"1433",0
"1434",0
"1435",0
"1436",0
"1437",0
"1438",0
"1439",0
"1440",0
"1441",0
"1442",0
"1443",0
"1444",0
"1445",0
"1446",0
"1447",0
"1448",0
"1449",0
"1450",0
"1451",0
"1452",0
"1453",0
"1454",0
"1455",0
"1456",0
"1457",0
"1458",0
"1459",0
"1460",0
"1461",0
"1462",0
"1463",0
"1464",0
"1465",0
"1466",0
"1467",0
"1468",0
"1469",0
"1470",0
"1471",0
"1472",0
"1473",0
"1474",0
"1475",0
"1476",0
"1477",0
"1478",0
"1479",0
"1480",0
"1481",0
"1482",84.609
"1483",337.842
"1484",350.631
"1485",343.113
"1486",352.245
"1487",344.829
"1488",316.236
"1489",329.523
"1490",350.04
"1491",314.766
"1492",342.837
"1493",335.646
"1494",356.457
"1495",336.204
"1496",349.74
"1497",342.201
"1498",453.924
"1499",736.497
"1500",620.349
"1501",613.905
"1502",584.928
"1503",478.656
"1504",421.938
"1505",534.939
"1506",774.903
"1507",830.25
"1508",738.264
"1509",660.333
"1510",589.518
"1511",674.556
"1512",1032.213
"1513",1366.932
"1514",1163.997
"1515",1172.853
"1516",1238.265
"1517",1459.452
"1518",1238.313
"1519",910.686
"1520",825.876
"1521",774.807
"1522",880.374
"1523",971.991
"1524",1037.124
"1525",937.125
"1526",773.52
"1527",775.434
"1528",77.682
"1529",91.611
"1530",939.018
"1531",988.764
"1532",1031.277
"1533",997.731
"1534",1090.626
"1535",1525.332
"1536",1990.761
"1537",1735.95
"1538",1409.763
"1539",1532.643
"1540",1492.734
"1541",1465.005
"1542",1338.876
"1543",1203.345
"1544",1784.904
"1545",1757.304
"1546",1400.154
"1547",880.167
"1548",616.776
"1549",581.259
"1550",488.778
"1551",423.903
"1552",395.349
"1553",409.512
"1554",374.547
"1555",360.759
"1556",353.514
"1557",368.043
"1558",297.264
"1559",318.657
"1560",283.116
"1561",297.273
"1562",303.9
"1563",120.189
"1564",0
"1565",0
"1566",0
"1567",0
"1568",0
"1569",0
"1570",0
"1571",0
"1572",0
"1573",0
"1574",0
"1575",0
"1576",0
"1577",0
"1578",0
"1579",0
"1580",0
"1581",0
"1582",0
"1583",0
"1584",0
"1585",0
"1586",0
"1587",0
"1588",0
"1589",0
"1590",0
"1591",0
"1592",0
"1593",0
"1594",0
"1595",0
"1596",0
"1597",0
"1598",0
"1599",0
"1600",0
"1601",0
"1602",0
"1603",0
"1604",0
"1605",0
"1606",0
"1607",0
"1608",0
"1609",0
"1610",0
"1611",0
"1612",0
"1613",0
"1614",0
"1615",0
"1616",0
"1617",0
"1618",0
"1619",0
"1620",0
"1621",0
"1622",0
"1623",0
"1624",0
"1625",0
"1626",0
"1627",0
"1628",0
"1629",0
"1630",0
"1631",298.977
"1632",291.639
"1633",311.835
"1634",333.456
"1635",335.373
"1636",321.204
"1637",356.049
"1638",384.207
"1639",328.818
"1640",377.502
"1641",328.35
"1642",418.698
"1643",467.505
"1644",1077.81
"1645",2005.689
"1646",1595.061
"1647",1517.607
"1648",1453.536
"1649",1544.466
"1650",1296.435
"1651",1324.557
"1652",1721.22
"1653",1927.095
"1654",1298.178
"1655",1200.231
"1656",1181.295
"1657",1171.563
"1658",1159.296
"1659",1333.308
"1660",2014.68
"1661",2362.017
"1662",2079.597
"1663",1771.845
"1664",1849.521
"1665",2068.836
"1666",1839.159
"1667",1732.389
"1668",2148.444
"1669",1671.024
"1670",1265.472
"1671",1167.117
"1672",1307.01
"1673",1098.219
"1674",939.639
"1675",1199.541
"1676",975.513
"1677",1438.263
"1678",1908.315
"1679",2024.358
"1680",1585.533
"1681",1785.204
"1682",1979.676
"1683",1880.679
"1684",1348.521
"1685",977.958
"1686",948.699
"1687",898.59
"1688",1359.354
"1689",1167.72
"1690",875.271
"1691",577.824
"1692",387.654
"1693",387.972
"1694",331.023
"1695",379.935
"1696",387.204
"1697",351.873
"1698",352.155
"1699",367.395
"1700",352.98
"1701",332.34
"1702",269.325
"1703",276.48
"1704",283.641
"1705",325.884
"1706",78.027
"1707",0
"1708",0
"1709",0
"1710",0
"1711",0
"1712",0
"1713",0
"1714",0
"1715",0
"1716",0
"1717",0
"1718",0
"1719",0
"1720",0
"1721",0
"1722",0
"1723",0
"1724",0
"1725",0
"1726",0
"1727",0
"1728",0
"1729",0
"1730",0
"1731",0
"1732",0
"1733",0
"1734",0
"1735",0
"1736",0
"1737",0
"1738",0
"1739",0
"1740",0
"1741",0
"1742",0
"1743",0
"1744",0
"1745",0
"1746",0
"1747",0
"1748",0
"1749",0
"1750",0
"1751",0
"1752",0
"1753",0
"1754",0
"1755",0
"1756",0
"1757",0
"1758",0
"1759",0
"1760",0
"1761",0
"1762",0
"1763",0
"1764",0
"1765",0
"1766",0
"1767",0
"1768",0
"1769",0
"1770",0
"1771",120.111
"1772",339.216
"1773",324.975
"1774",331.851
"1775",352.659
"1776",331.353
"1777",368.241
"1778",361.239
"1779",438.6
"1780",508.416
"1781",504.75
"1782",619.689
"1783",797.517
"1784",1023.222
"1785",1291.257
"1786",1439.562
"1787",1367.823
"1788",1580.166
"1789",1797.975
"1790",2163.795
"1791",3094.299
"1792",4352.892
"1793",2824.638
"1794",2078.196
"1795",2020.476
"1796",3029.595
"1797",2977.545
"1798",2819.535
"1799",2759.067
